case_name,docket_number,date_filed,court,payment_found,payment_amount,outcome,url,year,marked,plaintiff,defendant,plaintiff_size,defendant_size
"Sound View Innovations, LLC v. Hulu, LLC (Fed. Cir. 2026)",24-1092,2026-01-29,Court of Appeals for the Federal Circuit,0,0.0,0.0,https://www.courtlistener.com/opinion/10781246/sound-view-innovations-llc-v-hulu-llc/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=3,2026,1,"Sound View Innovations, LLC","Hulu, LLC",5.0,5.0
"US Patent No. 7,679,637 LLC v. Google LLC (Fed. Cir. 2026)",24-1520,2026-01-22,Court of Appeals for the Federal Circuit,0,0.0,1.0,https://www.courtlistener.com/opinion/10777951/us-patent-no-7679637-llc-v-google-llc/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=3,2026,1,"US Patent No. 7,679,637 LLC",Google LLC,5.0,9.0
Trinseo v. Harper (5th Cir. 2026),24-20460,2026-01-21,Court of Appeals for the Fifth Circuit,1,75000000.0,1.0,https://www.courtlistener.com/opinion/10777664/trinseo-v-harper/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=3,2026,1,Trinseo,Harper,1.0,1.0
Rebekah Hillman v. Toro Company (7th Cir. 2026),24-2865,2026-01-21,Court of Appeals for the Seventh Circuit,0,0.0,,https://www.courtlistener.com/opinion/10777417/rebekah-hillman-v-toro-company/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=3,2026,1,Rebekah Hillman,Toro Company,1.0,5.0
Barry v. Depuy Synthes Companies (Fed. Cir. 2026),23-2226,2026-01-20,Court of Appeals for the Federal Circuit,0,0.0,0.0,https://www.courtlistener.com/opinion/10776707/barry-v-depuy-synthes-companies/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=3,2026,1,Barry,Depuy Synthes Companies,1.0,5.0
"Clemente Properties, Inc. v. Pierluisi-Urrutia (1st Cir. 2026)",23-1922,2026-01-16,Court of Appeals for the First Circuit,1,21.0,1.0,https://www.courtlistener.com/opinion/10775535/clemente-properties-inc-v-pierluisi-urrutia/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=3,2026,1,"Clemente Properties, Inc.",Pierluisi-Urrutia,5.0,1.0
"CHP III, L.P. v. Benjamin F. Cravatt (Del. Ch. 2026)",C.A. No. 2024-0867-KSJM,2026-01-15,Court of Chancery of Delaware,0,0.0,,https://www.courtlistener.com/opinion/10774832/chp-iii-lp-v-benjamin-f-cravatt/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=3,2026,1,"CHP III, L.P.",Benjamin F. Cravatt,1.0,1.0
"U.S. Inventor, Inc. v. United States Patent and Trademark Office (D.D.C. 2026)",Civil Action No. 2023-3639,2026-01-14,"District Court, District of Columbia",1,10000.0,1.0,https://www.courtlistener.com/opinion/10774386/us-inventor-inc-v-united-states-patent-and-trademark-office/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=3,2026,1,"U.S. Inventor, Inc.",United States Patent and Trademark Office,5.0,3.0
Johnson & Johnson v. Fortis Advisors LLC (Del. 2026),"490, 2024",2026-01-12,Supreme Court of Delaware,1,1000000000.0,1.0,https://www.courtlistener.com/opinion/10773365/johnson-johnson-v-fortis-advisors-llc/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=4,2026,1,Johnson & Johnson,Fortis Advisors LLC,10.0,5.0
"Crocs, Inc. v. Itc (Fed. Cir. 2026)",24-1300,2026-01-08,Court of Appeals for the Federal Circuit,0,0.0,1.0,https://www.courtlistener.com/opinion/10771002/crocs-inc-v-itc/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=4,2026,1,"Crocs, Inc.",Itc,5.0,1.0
"Alivecor, Inc. v. Apple Inc. (9th Cir. 2026)",24-1392,2026-01-08,Court of Appeals for the Ninth Circuit,0,0.0,1.0,https://www.courtlistener.com/opinion/10771071/alivecor-inc-v-apple-inc/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=4,2026,1,"Alivecor, Inc.",Apple Inc.,5.0,9.0
"Keystone Cooperative, Inc. v. Brock Fraschet. al (Ind. Ct. App. 2025)",25A-CE-01212,2025-12-31,Indiana Court of Appeals,0,0.0,1.0,https://www.courtlistener.com/opinion/10767350/keystone-cooperative-inc-v-brock-fraschet-al/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=4,2025,1,"Keystone Cooperative, Inc.",Brock Fraschet. al,5.0,1.0
"Ethanol Boosting Systems, LLC v. Ford Motor Company (Fed. Cir. 2025)",24-1381,2025-12-23,Court of Appeals for the Federal Circuit,0,0.0,0.0,https://www.courtlistener.com/opinion/10763818/ethanol-boosting-systems-llc-v-ford-motor-company/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=4,2025,1,"Ethanol Boosting Systems, LLC",Ford Motor Company,5.0,8.0
"Robert F. Moran v. Unation, Inc., a Delaware corporation (Del. Ch. 2025)",C.A. No. 2025-0718-CDW,2025-12-22,Court of Chancery of Delaware,0,0.0,1.0,https://www.courtlistener.com/opinion/10763338/robert-f-moran-v-unation-inc-a-delaware-corporation/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=4,2025,1,Robert F. Moran,"Unation, Inc., a Delaware corporation",1.0,5.0
"Peter J. Trematerra v. The Affinity Project, Inc. (Del. Ch. 2025)",C.A. No. 2025-0896-DH,2025-12-22,Court of Chancery of Delaware,1,10000000000.0,,https://www.courtlistener.com/opinion/10763339/peter-j-trematerra-v-the-affinity-project-inc/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=4,2025,1,Peter J. Trematerra,"The Affinity Project, Inc.",1.0,5.0
Flavia Pichiorri v. Arthur Burghes (6th Cir. 2025),24-3918,2025-12-19,Court of Appeals for the Sixth Circuit,0,0.0,,https://www.courtlistener.com/opinion/10761978/flavia-pichiorri-v-arthur-burghes/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=4,2025,1,Flavia Pichiorri,Arthur Burghes,1.0,1.0
Micron Technology Inc. v. Longhorn Ip LLC (Fed. Cir. 2025),23-2007,2025-12-18,Court of Appeals for the Federal Circuit,0,0.0,,https://www.courtlistener.com/opinion/10760762/micron-technology-inc-v-longhorn-ip-llc/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=4,2025,1,Micron Technology Inc.,Longhorn Ip LLC,6.0,6.0
"Wonderland Switzerland Ag v. Evenflo Company, Inc. (Fed. Cir. 2025)",23-2043,2025-12-17,Court of Appeals for the Federal Circuit,0,0.0,1.0,https://www.courtlistener.com/opinion/10759844/wonderland-switzerland-ag-v-evenflo-company-inc/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=4,2025,1,Wonderland Switzerland Ag,"Evenflo Company, Inc.",1.0,5.0
Coda Development S.R.O. v. Goodyear Tire & Rubber Company (Fed. Cir. 2025),23-1880,2025-12-08,Court of Appeals for the Federal Circuit,1,2800000.0,1.0,https://www.courtlistener.com/opinion/10749110/coda-development-sro-v-goodyear-tire-rubber-company/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=4,2025,1,Coda Development S.R.O.,Goodyear Tire & Rubber Company,5.0,5.0
"ATP III GP, Ltd v. Rigmora Biotech Investor One LP (Del. Ch. 2025)",C.A. No. 2025-0607-KSJM,2025-12-05,Court of Chancery of Delaware,1,1000000000.0,,https://www.courtlistener.com/opinion/10748438/atp-iii-gp-ltd-v-rigmora-biotech-investor-one-lp/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=4,2025,1,"ATP III GP, Ltd",Rigmora Biotech Investor One LP,5.0,5.0
"Seagen Inc. v. Daiichi Sankyo Company, Ltd. (Fed. Cir. 2025)",23-2424,2025-12-02,Court of Appeals for the Federal Circuit,1,41000000.0,0.0,https://www.courtlistener.com/opinion/10745867/seagen-inc-v-daiichi-sankyo-company-ltd/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=4,2025,1,Seagen Inc.,"Daiichi Sankyo Company, Ltd.",5.0,5.0
"United States v. Julien Giraud, Jr. (3rd Cir. 2025)",25-2635,2025-12-01,Court of Appeals for the Third Circuit,0,0.0,,https://www.courtlistener.com/opinion/10745263/united-states-v-julien-giraud-jr/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=4,2025,1,United States,"Julien Giraud, Jr.",1.0,1.0
"In Re GESTURE TECHNOLOGY PARTNERS, LLC (Fed. Cir. 2025)",25-1075,2025-12-01,Court of Appeals for the Federal Circuit,0,0.0,1.0,https://www.courtlistener.com/opinion/10745188/in-re-gesture-technology-partners-llc/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=4,2025,1,,,,
Michael Waller v. Kansas City Southern Railway Company (La. Ct. App. 2025),"56,527-CA",2025-11-26,Louisiana Court of Appeal,1,5380665.06,1.0,https://www.courtlistener.com/opinion/10742755/michael-waller-v-kansas-city-southern-railway-company/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=4,2025,1,Michael Waller,Kansas City Southern Railway Company,1.0,5.0
